Sym,Name,Industry,M Cap,%5d
PGD,PEREGRINE GOLD LTD,Materials,$7M,-17.24
W2V,WAY 2 VAT LTD.,Software & Services,$7M,0.0
TFL,TASFOODS LIMITED,"Food, Beverage & Tobacco",$7M,0.0
R8R,REGENER8 RESOURCES NL,Materials,$7M,0.0
AYM,AUSTRALIA UNITED MINING LIMITED,Materials,$7M,0.0
MMR,MEC RESOURCES LIMITED,Energy,$7M,25.0
PVT,PIVOTAL METALS LIMITED,Materials,$7M,0.0
SRN,SUREFIRE RESOURCES NL,Materials,$7M,-12.5
SW1,SWIFT NETWORKS GROUP LIMITED,Media & Entertainment,$7M,10.0
TAT,TARTANA MINERALS LIMITED,Media & Entertainment,$7M,10.26
8CO,8COMMON LIMITED,Software & Services,$7M,-5.88
AD1,ADNEO LIMITED,Media & Entertainment,$7M,0.0
ALY,ALCHEMY RESOURCES LIMITED,Materials,$7M,0.0
TAR,TARUGA MINERALS LIMITED,Materials,$7M,0.0
WHK,WHITEHAWK LIMITED,Software & Services,$7M,5.0
FG1,FLYNN GOLD LIMITED,Materials,$7M,-3.57
ZLD,ZELIRA THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$7M,-5.0
TRI,TRIVARX LTD,Health Care Equipment & Services,$7M,0.0
MBK,METAL BANK LIMITED,Materials,$7M,0.0
14D,1414 DEGREES LIMITED,Capital Goods,$7M,-10.0
DES,DESOTO RESOURCES LIMITED,Materials,$7M,0.0
ASR,ASRA MINERALS LIMITED,Materials,$7M,0.0
CAZ,CAZALY RESOURCES LIMITED,Materials,$7M,-18.75
IRX,INHALERX LIMITED,Health Care Equipment & Services,$7M,-17.95
WEC,WHITE ENERGY COMPANY LIMITED,Energy,$7M,-10.53
KLI,KILLI RESOURCES LIMITED,Class Pend,$7M,0.0
CPN,CASPIN RESOURCES LIMITED,Materials,$7M,-7.55
VEN,VINTAGE ENERGY LTD,Energy,$7M,12.5
LOM,LUCAPA DIAMOND COMPANY LIMITED,Materials,$7M,10.53
CGR,CGN RESOURCES LIMITED,Materials,$7M,-3.23
THB,THUNDERBIRD RESOURCES LIMITED,Materials,$7M,0.0
GRE,GREENTECH METALS LIMITED,Materials,$7M,-5.41
SIT,SITE GROUP INTERNATIONAL LIMITED,Consumer Services,$7M,0.0
ASQ,AUSTRALIAN SILICA QUARTZ GROUP LTD,Materials,$6M,0.0
HAL,HALO TECHNOLOGIES HOLDINGS LTD,Financial Services,$6M,-1.96
RNX,RENEGADE EXPLORATION LIMITED,Materials,$6M,-16.67
REE,RAREX LIMITED,Materials,$6M,-20.0
PRX,PRODIGY GOLD NL,Materials,$6M,0.0
MEG,MEGADO MINERALS LTD,Materials,$6M,7.14
ERG,ENECO REFRESH LTD,"Food, Beverage & Tobacco",$6M,69.23
SLM,SOLIS MINERALS LTD.,Materials,$6M,2.9
SNX,SIERRA NEVADA GOLD INC.,Materials,$6M,-11.63
MTL,MANTLE MINERALS LIMITED,Materials,$6M,-33.33
SVG,SAVANNAH GOLDFIELDS LIMITED,Materials,$6M,0.0
THR,THOR ENERGY PLC,Materials,$6M,8.33
DM1,DESERT METALS LIMITED,Materials,$6M,0.0
BCC,BEAM COMMUNICATIONS HOLDINGS LIMITED,Technology Hardware & Equipment,$6M,-12.5
PL3,PATAGONIA LITHIUM LTD,Materials,$6M,0.0
DTM,DART MINING NL,Materials,$6M,-9.09
RLG,ROOLIFE GROUP LTD,Media & Entertainment,$6M,-16.67
RC1,REDCASTLE RESOURCES LIMITED,Materials,$6M,12.5
KTA,KRAKATOA RESOURCES LIMITED,Materials,$6M,-5.0
PHL,PROPELL HOLDINGS LIMITED,Financial Services,$6M,5.0
DTI,DTI GROUP LTD,Technology Hardware & Equipment,$6M,0.0
MEL,METGASCO LTD,Energy,$6M,0.0
MQR,MARQUEE RESOURCES LIMITED,Materials,$6M,-6.67
NGS,NUTRITIONAL GROWTH SOLUTIONS LTD,Household & Personal Products,$6M,-10.0
BPM,BPM MINERALS LIMITED,Materials,$6M,14.06
CVR,CAVALIER RESOURCES LIMITED,Materials,$6M,-13.04
BCA,BLACK CANYON LIMITED,Materials,$6M,0.0
CAQ,CAQ HOLDINGS LIMITED,Real Estate Management & Development,$6M,0.0
YOW,YOWIE GROUP LTD,"Food, Beverage & Tobacco",$6M,0.0
ENX,ENEGEX LIMITED,Materials,$6M,0.0
RR1,REACH RESOURCES LIMITED,Materials,$6M,-7.14
RON,RONIN RESOURCES LTD,Materials,$6M,2.94
ICG,INCA MINERALS LIMITED,Materials,$6M,-8.33
AM5,ANTARES METALS LIMITED,Materials,$6M,9.09
AAU,ANTILLES GOLD LIMITED,Materials,$6M,0.0
SSH,SSH GROUP LTD,Energy,$6M,-2.33
PPY,PAPYRUS AUSTRALIA LIMITED,Materials,$6M,-16.67
NRX,NORONEX LIMITED,Materials,$5M,10.0
MGA,METALSGROVE MINING LTD,Materials,$5M,-3.7
VAR,VARISCAN MINES LIMITED,Materials,$5M,0.0
SBW,SHEKEL BRAINWEIGH LTD,Software & Services,$5M,33.33
IMI,INFINITY MINING LIMITED,Materials,$5M,-21.43
CMB,CAMBIUM BIO LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$5M,-1.16
PAT,PATRIOT LITHIUM LIMITED,Materials,$5M,-12.24
TMX,TERRAIN MINERALS LIMITED,Materials,$5M,-14.29
NES,NELSON RESOURCES LIMITED.,Materials,$5M,0.0
CMD,CASSIUS MINING LIMITED,Materials,$5M,71.43
ZMM,ZIMI LIMITED,Technology Hardware & Equipment,$5M,16.67
M2M,MT MALCOLM MINES NL,Materials,$5M,4.35
TG1,TECHGEN METALS LTD,Materials,$5M,3.13
GRL,GODOLPHIN RESOURCES LIMITED,Materials,$5M,0.0
AHN,ATHENA RESOURCES LIMITED,Materials,$5M,0.0
AHNN,ATHENA RESOURCES LIMITED,Materials,$5M,0.0
SCN,SCORPION MINERALS LIMITED,Materials,$5M,0.0
ADS,ADSLOT LTD.,Software & Services,$5M,0.0
AYT,AUSTIN METALS LIMITED,Materials,$5M,-11.11
PR1,PURE RESOURCES LIMITED,Materials,$5M,-8.0
EVE,EVE HEALTH GROUP LIMITED.,Financial Services,$5M,0.0
EAT,ENTERTAINMENT REWARDS LTD,Media & Entertainment,$5M,-20.0
KAL,KALGOORLIE GOLD MINING LIMITED,Materials,$5M,5.56
HPC,THE HYDRATION PHARMACEUTICALS COMPANY LIMITED,Household & Personal Products,$5M,0.0
IEQ,INTERNATIONAL EQUITIES CORPORATION LIMITED.,Real Estate Management & Development,$5M,0.0
QXR,QX RESOURCES LIMITED,Materials,$5M,0.0
UVA,UVRE LIMITED,Materials,$5M,-10.53
WGR,WESTERN GOLD RESOURCES LIMITED.,Materials,$5M,-3.23
ZMI,ZINC OF IRELAND NL,Materials,$5M,-9.09
HTM,HIGH-TECH METALS LTD,Materials,$5M,-3.13
XPN,XPON TECHNOLOGIES GROUP LIMITED,Software & Services,$5M,11.54
LVE,LOVE GROUP GLOBAL LTD,Software & Services,$5M,-7.14
RGL,RIVERSGOLD LIMITED,Materials,$5M,33.33
OD6,OD6 METALS LIMITED,Materials,$5M,31.25
PSL,PATERSON RESOURCES LTD,Materials,$5M,10.0
EMUCA,EMU NL,Materials,$5M,0.0
EMU,EMU NL,Materials,$5M,0.0
ERW,ERRAWARRA RESOURCES LTD,Materials,$5M,10.0
AX8,ACCELERATE RESOURCES LIMITED,Materials,$5M,-13.33
IXC,INVEX THERAPEUTICS LTD,"Pharmaceuticals, Biotechnology & Life Sciences",$5M,-10.81
CHRCA,CHARGER METALS NL,Materials,$5M,0.0
CHR,CHARGER METALS NL,Materials,$5M,0.0
CBY,CANTERBURY RESOURCES LIMITED,Materials,$5M,0.0
MHC,MANHATTAN CORPORATION LIMITED,Energy,$5M,-4.55
ENV,ENOVA MINING LIMITED,Materials,$5M,-16.67
NSB,NEUROSCIENTIFIC BIOPHARMACEUTICALS LTD,"Pharmaceuticals, Biotechnology & Life Sciences",$5M,-2.86
BUS,BUBALUS RESOURCES LIMITED,Materials,$5M,4.55
GGE,GRAND GULF ENERGY LIMITED,Energy,$5M,-20.0
LNR,LANTHANEIN RESOURCES LTD,Materials,$5M,0.0
REC,RECHARGE METALS LIMITED,Materials,$5M,-10.0
OLI,OLIVER'S REAL FOOD LIMITED,Consumer Services,$5M,0.0
GR8,GREAT DIRT RESOURCES LTD,Materials,$5M,10.0
DDT,DATADOT TECHNOLOGY LIMITED,Automobiles & Components,$5M,-20.0
LYN,LYCAON RESOURCES LTD,Materials,$5M,-2.15
ALV,ALVO MINERALS LIMITED,Materials,$5M,-31.67
HRE,HEAVY RARE EARTHS LIMITED,Class Pend,$5M,-6.25
HWK,HAWK RESOURCES LIMITED.,Materials,$5M,-16.67
DAL,DALAROO METALS LTD,Materials,$5M,0.0
ENT,ENTERPRISE METALS LIMITED,Materials,$5M,0.0
MOM,MOAB MINERALS LIMITED,Materials,$5M,-33.33
SER,STRATEGIC ENERGY RESOURCES LIMITED,Materials,$5M,0.0
MML,MCLAREN MINERALS LIMITED,Materials,$5M,4.65
NSM,NORTH STAWELL MINERALS LTD,Materials,$5M,13.33
SP3,SPECTUR LIMITED,Technology Hardware & Equipment,$5M,0.0
RB6,RUBIX RESOURCES LIMITED,Materials,$5M,-1.32
HFY,HUBIFY LIMITED,Telecommunication Services,$5M,0.0
BHD,BENJAMIN HORNIGOLD LIMITED,Not Applic,$5M,0.0
FFF,FORBIDDEN FOODS LIMITED,"Food, Beverage & Tobacco",$5M,0.0
FTC,FINTECH CHAIN LIMITED,Financial Services,$5M,0.0
JNO,JUNO MINERALS LIMITED,Materials,$5M,4.17
BIM,BINDI METALS LIMITED,Materials,$5M,8.97
SMS,STAR MINERALS LIMITED,Materials,$5M,0.0
ICE,ICETANA LIMITED,Software & Services,$4M,-5.0
BUY,BOUNTY OIL & GAS NL,Energy,$4M,0.0
ZEU,ZEUS RESOURCES LIMITED,Energy,$4M,0.0
ADG,ADELONG GOLD LIMITED,Materials,$4M,-20.0
ERL,EMPIRE RESOURCES LIMITED,Materials,$4M,33.33
SHE,STONEHORSE ENERGY LIMITED,Energy,$4M,8.33
AER,AEERIS LTD,Media & Entertainment,$4M,-14.29
SMX,STRATA MINERALS LIMITED.,Materials,$4M,15.0
OB1,ORBMINCO LIMITED,Materials,$4M,0.0
NPM,NEWPEAK METALS LIMITED,Materials,$4M,40.0
WOA,WIDE OPEN AGRICULTURE LTD,"Food, Beverage & Tobacco",$4M,-20.0
SLB,STELAR METALS LIMITED,Class Pend,$4M,-5.63
IPB,IPB PETROLEUM LIMITED,Energy,$4M,0.0
BMM,BAYAN MINING AND MINERALS LIMITED,Materials,$4M,-2.0
OSX,OSTEOPORE LIMITED,Health Care Equipment & Services,$4M,-9.21
CR3,CORE ENERGY MINERALS LTD,Materials,$4M,-21.87
RMX,RED MOUNTAIN MINING LIMITED,Materials,$4M,0.0
CPO,CULPEO MINERALS LIMITED,Materials,$4M,5.0
RBX,RESOURCE BASE LIMITED.,Materials,$4M,9.09
OZM,OZAURUM RESOURCES LIMITED,Materials,$4M,-13.33
SRI,SIPA RESOURCES LIMITED,Materials,$4M,28.57
VBS,VECTUS BIOSYSTEMS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$4M,0.0
A8G,AUSTRALASIAN METALS LIMITED,Materials,$4M,1.3
IBX,IMAGION BIOSYSTEMS LIMITED,Health Care Equipment & Services,$4M,-9.52
TAS,TASMAN RESOURCES LTD,Materials,$4M,0.0
EM2,EAGLE MOUNTAIN MINING LIMITED,Materials,$4M,0.0
AFA,ASF GROUP LIMITED,Financial Services,$4M,0.0
ACM,AUSTRALIAN CRITICAL MINERALS LIMITED,Materials,$4M,-9.0
SBR,SABRE RESOURCES LIMITED,Materials,$4M,0.0
ARC,ARC FUNDS LIMITED,Financial Services,$4M,-3.33
GES,GENESIS RESOURCES LIMITED,Materials,$4M,-16.67
GLL,GALILEE ENERGY LIMITED,Energy,$4M,16.67
NFL,NORFOLK METALS LIMITED,Materials,$4M,-1.05
OPL,OPYL LIMITED,Software & Services,$4M,-23.08
KGD,KULA GOLD LIMITED,Materials,$4M,-14.29
HAR,HARANGA RESOURCES LIMITED.,Materials,$4M,-4.55
TML,TIMAH RESOURCES LIMITED,Utilities,$4M,0.0
REM,REMSENSE TECHNOLOGIES LIMITED,Capital Goods,$4M,0.0
G88,GOLDEN MILE RESOURCES LTD,Materials,$4M,11.11
FMR,FMR RESOURCES LIMITED,Media & Entertainment,$4M,-5.88
NC6,NANOLLOSE LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$4M,11.76
ADC,ACDC METALS LTD,Materials,$4M,-15.0
CTN,CATALINA RESOURCES LTD,Materials,$4M,0.0
RLL,RAPID LITHIUM LIMITED,Materials,$4M,15.74
TX3,TRINEX MINERALS LIMITED,Materials,$4M,0.0
MRZ,MONT ROYAL RESOURCES LIMITED,Materials,$4M,0.0
DUN,DUNDAS MINERALS LIMITED,Materials,$4M,-2.86
GED,GOLDEN DEEPS LIMITED.,Materials,$4M,-4.0
PPG,PRO-PAC PACKAGING LIMITED,Materials,$4M,28.57
NTM,NT MINERALS LIMITED,Materials,$4M,-25.0
EVR,EV RESOURCES LTD,Materials,$4M,0.0
AUH,AUSTCHINA HOLDINGS LIMITED,Energy,$4M,0.0
MDI,MIDDLE ISLAND RESOURCES LIMITED,Materials,$4M,-7.14
LMS,LITCHFIELD MINERALS LIMITED,Materials,$4M,1.01
CUS,COPPER SEARCH LIMITED,Materials,$4M,-6.06
EQS,EQUITY STORY GROUP LTD,Financial Services,$4M,0.0
RCR,RINCON RESOURCES LIMITED,Materials,$4M,-4.17
8IH,8I HOLDINGS LTD,Financial Services,$3M,11.11
TTI,TRAFFIC TECHNOLOGIES LTD.,Transportation,$3M,-25.0
IFG,INFOCUS GROUP HOLDINGS LIMITED,Software & Services,$3M,-4.55
ABE,AUSTRALIAN BOND EXCHANGE HOLDINGS LIMITED,Financial Services,$3M,-16.67
OCN,OCEANA LITHIUM LIMITED,Materials,$3M,13.04
SKN,SKIN ELEMENTS LIMITED,Household & Personal Products,$3M,0.0
ICR,INTELICARE HOLDINGS LIMITED,Health Care Equipment & Services,$3M,-12.5
EMT,EMETALS LIMITED,Not Applic,$3M,-20.0
BMO,BASTION MINERALS LIMITED,Materials,$3M,-20.0
PBL,PARABELLUM RESOURCES LIMITED,Materials,$3M,3.85
T92,TERRA URANIUM LIMITED,Energy,$3M,0.0
CDT,CASTLE MINERALS LIMITED,Materials,$3M,25.0
SIS,SIMBLE SOLUTIONS LIMITED,Software & Services,$3M,0.0
ALB,ALBION RESOURCES LIMITED,Materials,$3M,-8.89
TD1,TALI DIGITAL LIMITED,Health Care Equipment & Services,$3M,-33.33
HT8,HARRIS TECHNOLOGY GROUP LIMITED,Transportation,$3M,-9.09
PKO,PEAKO LIMITED,Materials,$3M,0.0
DAF,DISCOVERY ALASKA LIMITED,Materials,$3M,0.0
EFE,EASTERN RESOURCES LIMITED,Materials,$3M,-20.0
RMI,RESOURCE MINING CORPORATION LIMITED,Materials,$3M,-16.67
EEL,ENRG ELEMENTS LTD,Materials,$3M,0.0
FIN,FIN RESOURCES LIMITED,Materials,$3M,0.0
OMX,ORANGE MINERALS NL,Materials,$3M,-6.45
OLY,OLYMPIO METALS LIMITED,Commercial & Professional Services,$3M,0.0
M3M,M3 MINING LIMITED,Materials,$3M,2.94
VRL,VERITY RESOURCES LIMITED,Materials,$3M,-4.55
C1X,COSMOS EXPLORATION LIMITED,Materials,$3M,-2.86
CDE,CODEIFAI LIMITED,Commercial & Professional Services,$3M,0.0
CDR,CODRUS MINERALS LIMITED,Materials,$3M,0.0
CPM,COOPER METALS LIMITED,Materials,$3M,-13.04
FRS,FORRESTANIA RESOURCES LIMITED,Materials,$3M,-7.14
SMM,SOMERSET MINERALS LIMITED,Materials,$3M,0.0
FAU,FIRST AU LIMITED,Materials,$3M,-25.0
MPR,MPOWER GROUP LIMITED,Financial Services,$3M,0.0
ADD,ADAVALE RESOURCES LIMITED,Energy,$3M,0.0
BTM,BREAKTHROUGH MINERALS LIMITED,Energy,$3M,-1.33
CGO,CPT GLOBAL LIMITED,Software & Services,$3M,-2.82
NRZ,NEURIZER LTD,Materials,$3M,33.33
CT1,CONSTELLATION TECHNOLOGIES LIMITED,Technology Hardware & Equipment,$3M,0.0
AVW,AVIRA RESOURCES LTD,Materials,$3M,0.0
CZN,CORAZON MINING LIMITED,Materials,$3M,-16.67
CMO,COSMO METALS LIMITED,Materials,$3M,22.22
MOH,MOHO RESOURCES LIMITED,Materials,$3M,0.0
PLG,PEARL GULL IRON LIMITED,Materials,$3M,0.0
AUR,AURIS MINERALS LIMITED,Materials,$3M,0.0
HCT,HOLISTA COLLTECH LIMITED,Household & Personal Products,$3M,0.0
ACS,ACCENT RESOURCES NL,Materials,$3M,0.0
M24,MAMBA EXPLORATION LIMITED,Materials,$3M,0.0
1TT,THRIVE TRIBE TECHNOLOGIES LIMITED,Software & Services,$3M,0.0
WSR,WESTAR RESOURCES LIMITED,Materials,$3M,0.0
RDS,REDSTONE RESOURCES LIMITED,Materials,$3M,0.0
CUL,CULLEN RESOURCES LIMITED,Materials,$3M,-20.0
VTI,VISIONEERING TECHNOLOGIES INC.,Health Care Equipment & Services,$3M,19.05
HYD,HYDRIX LIMITED,Technology Hardware & Equipment,$3M,0.0
WEL,WINCHESTER ENERGY LTD,Energy,$3M,0.0
WYX,WESTERN YILGARN NL,Materials,$3M,-15.38
WC1,WEST COBAR METALS LIMITED,Materials,$3M,23.08
DY6,DY6 METALS LTD,Class Pend,$3M,0.0
PNT,PANTHER METALS LTD,Materials,$3M,9.09
PVW,PVW RESOURCES LIMITED,Materials,$3M,-18.75
RBR,RBR GROUP LIMITED,Materials,$3M,0.0
PLC,PREMIER1 LITHIUM LIMITED,Class Pend,$3M,0.0
SQX,SQX RESOURCES LIMITED,Materials,$3M,-5.75
TMB,TAMBOURAH METALS LTD,Materials,$3M,-8.0
TEM,TEMPEST MINERALS LIMITED,Materials,$3M,-20.0
LSR,LODESTAR MINERALS LIMITED,Materials,$3M,-6.25
GSM,GOLDEN STATE MINING LIMITED,Materials,$3M,0.0
LKY,LOCKSLEY RESOURCES LIMITED,Materials,$2M,-5.56
RML,RESOLUTION MINERALS LTD,Materials,$2M,16.67
BOA,BOA RESOURCES LTD,Materials,$2M,-9.09
AS2,ASKARI METALS LIMITED,Materials,$2M,-7.69
LYK,LYKOS METALS LIMITED,Materials,$2M,8.33
AAJ,ARUMA RESOURCES LIMITED,Materials,$2M,-15.38
AOA,AUSMON RESOURCES LIMITED,Materials,$2M,0.0
CNJ,CONICO LTD,Materials,$2M,-16.67
PIM,PINNACLE MINERALS LIMITED,Materials,$2M,0.0
AM7,ARCADIA MINERALS LIMITED,Materials,$2M,-5.0
CRB,CARBINE RESOURCES LIMITED,Materials,$2M,0.0
GCR,GOLDEN CROSS RESOURCES LTD,Materials,$2M,-33.33
PKD,PARKD LTD,Commercial & Professional Services,$2M,0.0
GNM,GREAT NORTHERN MINERALS LIMITED,Materials,$2M,-6.67
KFM,KINGFISHER MINING LTD,Materials,$2M,-6.98
CTQ,CARETEQ LIMITED,Health Care Equipment & Services,$2M,-9.09
TKL,TRAKA RESOURCES LIMITED,Materials,$2M,-33.33
SFM,SANTA FE MINERALS LTD,Materials,$2M,0.0
AKN,AUKING MINING LIMITED,Materials,$2M,25.0
WBE,WHITEBARK ENERGY LTD,Energy,$2M,33.33
BYH,BRYAH RESOURCES LIMITED,Materials,$2M,0.0
AOK,AUSTRALIAN OIL COMPANY LIMITED.,Energy,$2M,-33.33
DMG,DRAGON MOUNTAIN GOLD LIMITED,Materials,$2M,0.0
OEQ,ORION EQUITIES LIMITED,Financial Services,$2M,0.0
PRM,PROMINENCE ENERGY LIMITED,Energy,$2M,0.0
T3D,333D LIMITED,Commercial & Professional Services,$2M,37.5
IVT,INVENTIS LIMITED,Commercial & Professional Services,$2M,0.0
LRD,LORD RESOURCES LIMITED,Materials,$2M,0.0
HCD,HYDROCARBON DYNAMICS LIMITED,Energy,$2M,0.0
CYQ,CYCLIQ GROUP LTD,Consumer Durables & Apparel,$2M,33.33
E79,E79 GOLD MINES LIMITED,Materials,$2M,0.0
H2G,GREENHY2 LIMITED,Commercial & Professional Services,$2M,0.0
SRH,SAFEROADS HOLDINGS LIMITED,Transportation,$2M,0.0
IS3,I SYNERGY GROUP LIMITED,Software & Services,$2M,0.0
DBO,DIABLO RESOURCES LIMITED,Materials,$2M,0.0
AIV,ACTIVEX LIMITED,Materials,$2M,0.0
RIE,RIEDEL RESOURCES LIMITED,Materials,$2M,-6.06
RAS,RAGUSA MINERALS LTD,Materials,$2M,-8.33
MTB,MOUNT BURGESS MINING NL,Materials,$2M,-33.33
C7A,CLARA RESOURCES AUSTRALIA LTD,Materials,$2M,-4.0
KEY,KEY PETROLEUM LIMITED,Energy,$2M,0.0
BSN,BASIN ENERGY LIMITED,Energy,$2M,-3.03
SLZ,SULTAN RESOURCES LTD,Materials,$2M,16.67
M2R,MIRAMAR RESOURCES LIMITED,Materials,$2M,-11.11
WNR,WINGARA AG LTD,"Food, Beverage & Tobacco",$2M,0.0
RLC,REEDY LAGOON CORPORATION LIMITED,Materials,$2M,0.0
BP8,BPH GLOBAL LTD,"Pharmaceuticals, Biotechnology & Life Sciences",$2M,0.0
OAK,OAKRIDGE INTERNATIONAL LIMITED,Software & Services,$1M,0.0
EMS,EASTERN METALS LIMITED,Materials,$1M,50.0
YAR,YARI MINERALS LIMITED,Materials,$1M,0.0
CR9,CORELLA RESOURCES LTD,Materials,$1M,-25.0
APC,APC MINERALS LIMITED,Materials,$1M,-31.58
8VI,8VI HOLDINGS LIMITED,Consumer Services,$1M,-33.33
QUE,QUESTE COMMUNICATIONS LIMITED,Financial Services,$1M,0.0
KLR,KAILI RESOURCES LIMITED,Energy,$1M,0.0
BEL,BENTLEY CAPITAL LIMITED,Not Applic,$1M,50.0
SAN,SAGALIO ENERGY LIMITED,Energy,$1M,0.0
OKJ,OAKAJEE CORPORATION LIMITED,Materials,$732K,0.0
JAY,JAYRIDE GROUP LIMITED,Transportation,$716K,-40.0
RPG,RAPTIS GROUP LIMITED,Real Estate Management & Development,$635K,0.0
ICU,INVESTOR CENTRE LIMITED,Financial Services,$609K,0.0
MSG,MCS SERVICES LIMITED,Commercial & Professional Services,$594K,0.0
MSI,MULTISTACK INTERNATIONAL LIMITED,Capital Goods,$545K,0.0
AYI,A1 INVESTMENTS & RESOURCES LTD,Financial Services,NaN,0.0
AVM,ADVANCE METALS LIMITED,Materials,NaN,0.0
AHI,ADVANCED HEALTH INTELLIGENCE LTD,Software & Services,NaN,0.0
AML,AEON METALS LIMITED.,Materials,NaN,0.0
AGH,ALTHEA GROUP HOLDINGS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",NaN,0.0
AN1,ANAGENICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",NaN,0.0
AO1,ASSETOWL LIMITED,Software & Services,NaN,0.0
ATU,ATRUM COAL LIMITED,Materials,NaN,0.0
AKP,AUDIO PIXELS HOLDINGS LIMITED,Consumer Durables & Apparel,NaN,0.0
AR1,AUSTRAL RESOURCES AUSTRALIA LTD,Materials,NaN,0.0
BFC,BESTON GLOBAL FOOD COMPANY LIMITED,"Food, Beverage & Tobacco",NaN,0.0
BCT,BLUECHIIP LIMITED,Technology Hardware & Equipment,NaN,0.0
BOD,BOD SCIENCE LIMITED,Consumer Discretionary Distribution & Retail,NaN,0.0
CAI,CALIDUS RESOURCES LIMITED,Materials,NaN,0.0
CL8,CARLY HOLDINGS LIMITED,Transportation,NaN,0.0
CMX,CHEMX MATERIALS LIMITED,Materials,NaN,0.0
CLZ,CLASSIC MINERALS LTD,Materials,NaN,0.0
CBH,COOLABAH METALS LIMITED,Materials,NaN,0.0
CI1,CREDIT INTELLIGENCE LTD,Commercial & Professional Services,NaN,0.0
DMM,DMC MINING LIMITED.,Materials,NaN,0.0
DCL,DOMACOM LIMITED,Financial Services,NaN,0.0
DLM,DOMINION MINERALS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",NaN,0.0
EP1,E&P FINANCIAL GROUP LIMITED,Financial Services,NaN,5.1
ENN,ELANOR INVESTORS GROUP,Consumer Services,NaN,0.0
ETR,ENTYR LIMITED,Commercial & Professional Services,NaN,0.0
EPN,EPSILON HEALTHCARE LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",NaN,0.0
EQE,EQUUS MINING LIMITED,Materials,NaN,0.0
FSG,FIELD SOLUTIONS HOLDINGS LIMITED,Telecommunication Services,NaN,0.0
FCG,FREEDOM CARE GROUP HOLDINGS LIMITED,Health Care Equipment & Services,NaN,0.0
G1A,GALENA MINING LIMITED,Materials,NaN,0.0
GGX,GAS2GRID LIMITED,Energy,NaN,0.0
GTH,GATHID LTD,Software & Services,NaN,0.0
GTG,GENETIC TECHNOLOGIES LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",NaN,0.0
GDC,GLOBAL DATA CENTRE GROUP,Not Applic,NaN,0.0
GDA,GOOD DRINKS AUSTRALIA LTD,"Food, Beverage & Tobacco",NaN,6.67
G6M,GROUP 6 METALS LIMITED,Materials,NaN,0.0
HPP,HEALTH AND PLANT PROTEIN GROUP LIMITED,"Food, Beverage & Tobacco",NaN,0.0
HXL,HEXIMA LIMITED.,"Pharmaceuticals, Biotechnology & Life Sciences",NaN,0.0
ICN,ICON ENERGY LIMITED,Energy,NaN,0.0
IBGDA,IRONBARK ZINC LTD,Materials,NaN,20.0
KTG,K-TIG LIMITED,Capital Goods,NaN,0.0
KDY,KADDY LIMITED,Consumer Discretionary Distribution & Retail,NaN,0.0
KLL,KALIUM LAKES LIMITED,Materials,NaN,0.0
KBC,KEYBRIDGE CAPITAL LIMITED,Financial Services,NaN,0.0
KNM,KNEOMEDIA LIMITED,Media & Entertainment,NaN,0.0
KOR,KORAB RESOURCES LIMITED,Materials,NaN,0.0
LKO,LAKES BLUE ENERGY NL,Energy,NaN,0.0
LHM,LAND & HOMES GROUP LIMITED,Real Estate Management & Development,NaN,0.0
LLL,LEO LITHIUM LIMITED,Materials,NaN,0.0
LPD,LEPIDICO LTD,Materials,NaN,0.0
LEL,LITHIUM ENERGY LIMITED,Materials,NaN,0.0
M8S,M8 SUSTAINABLE LIMITED,Commercial & Professional Services,NaN,0.0
MNS,MAGNIS ENERGY TECHNOLOGIES LTD,Materials,NaN,0.0
MDC,MEDLAB CLINICAL LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",NaN,0.0
MKL,MIGHTY KINGDOM LIMITED,Media & Entertainment,NaN,0.0
MRC,MINERAL COMMODITIES LTD,Materials,NaN,0.0
MOZ,MOSAIC BRANDS LIMITED,Consumer Discretionary Distribution & Retail,NaN,0.0
MRDDB,MOUNT RIDLEY MINES LIMITED,Materials,NaN,-70.0
MBX,MY FOODIE BOX LIMITED,Consumer Staples Distribution & Retail,NaN,0.0
MRI,MY REWARDS INTERNATIONAL LIMITED,Commercial & Professional Services,NaN,0.0
NZS,NEW ZEALAND COASTAL SEAFOODS LIMITED,"Food, Beverage & Tobacco",NaN,0.0
NWF,NEWFIELD RESOURCES LIMITED,Materials,NaN,0.0
NNG,NEXION GROUP LTD,Software & Services,NaN,0.0
NCR,NUCOAL RESOURCES LIMITED,Materials,NaN,0.0
NUH,NUHEARA LIMITED,Technology Hardware & Equipment,NaN,0.0
OM1,OMNIA METALS GROUP LTD,Materials,NaN,0.0
OPN,OPENN NEGOTIATION LIMITED,Commercial & Professional Services,NaN,0.0
OXT,OREXPLORE TECHNOLOGIES LIMITED,Class Pend,NaN,0.0
